"CodigocompletoDane","MPIO","ano","poblacion","codigoanodane","cienmilhabitantes"
"23300000","Cotorra","2005",15113,"200523300000",0.015113
"23350000","La Apartada","2005",12702,"200523350000",0.012702
"23417000","Lorica","2005",110316,"200523417000",0.110316
"23419000","Los Córdobas","2005",17837,"200523419000",0.017837
"23464000","Momil","2005",14092,"200523464000",0.014092
"23466000","Montelíbano(1)(3)","2005",73247,"200523466000",0.073247
"23500000","Moñitos","2005",23597,"200523500000",0.023597
"23555000","Planeta Rica","2005",61692,"200523555000",0.061692
"23570000","Pueblo Nuevo","2005",31536,"200523570000",0.031536
"23574000","Puerto Escondido","2005",21786,"200523574000",0.021786
"23580000","Puerto Libertador","2005",35186,"200523580000",0.035186
"23586000","Purísima","2005",14677,"200523586000",0.014677
"23660000","Sahagún","2005",87635,"200523660000",0.087635
"23670000","San Andrés Sotavento (1) (3)","2005",63147,"200523670000",0.063147
"23672000","San Antero","2005",26123,"200523672000",0.026123
"23675000","San Bernardo del Viento","2005",31405,"200523675000",0.031405
"23678000","San Carlos","2005",23622,"200523678000",0.023622
"23682000","San José de Uré(1)","2005",0,"200523682000",0
"23686000","San Pelayo","2005",39260,"200523686000",0.03926
"23807000","Tierralta","2005",78770,"200523807000",0.07877
"23815000","Tuchín (1)","2005",0,"200523815000",0
"23855000","Valencia","2005",34373,"200523855000",0.034373
"25001000","Agua de Dios","2005",11822,"200525001000",0.011822
"25019000","Albán","2005",5952,"200525019000",0.005952
"25035000","Anapoima","2005",11503,"200525035000",0.011503
"25040000","Anolaima","2005",13310,"200525040000",0.01331
"25053000","Arbeláez","2005",11806,"200525053000",0.011806
"25086000","Beltrán","2005",1947,"200525086000",0.001947
"25095000","Bituima","2005",2657,"200525095000",0.002657
"25099000","Bojacá","2005",8879,"200525099000",0.008879
"25120000","Cabrera","2005",4684,"200525120000",0.004684
"25123000","Cachipay","2005",9995,"200525123000",0.009995
"25126000","Cajicá","2005",45391,"200525126000",0.045391
"25148000","Caparrapí","2005",16483,"200525148000",0.016483
